Кепка,Стоимость 1 декады, Стоимость 2 декады,Стоимость 3 декады,Стоимость 4 декады,Стоимость 5 декады,Стоимость 6 декады,Стоимость 7 декады,Стоимость 8 декады,Стоимость 9 декады,Стоимость 10 декады,Стоимость 11 декады,Стоимость 12 декады,
Кепка 1,4999,3456,3434,5656,8992,8909,8765,2345,5464,7979,2353,9776
Кепка 2,6710,3403,7122,5622,3972,5651,4784,4530,6046,7267,6140,5342
Кепка 3,6999,6005,5185,4165,3396,6895,5189,6245,6139,4877,3426,6387
Кепка 4,7096,4548,7203,3859,6034,7321,4163,5341,7266,4706,7251,5335
Кепка 5,3800,4226,4328,6074,4804,5128,4933,3639,3775,6880,4965,4401
Кепка 6,5161,4727,7430,3024,4233,7395,4108,6042,7561,6388,7701,5432
Кепка 7,7400,5777,3809,6914,6632,6986,3519,5510,6210,6785,3610,5550
Кепка 8,4500,4252,5757,6351,3930,5163,6768,4988,6845,6541,5769,6718
Кепка 9,3670,3025,5838,6259,5451,5669,6958,5521,5777,6173,4681,5982
Кепка 10,4700,6057,6097,4626,5557,4426,5131,3164,6447,3077,6883,4976
Кепка 11,6429,5422,3035,4289,7263,4568,6864,6377,7048,6164,7860,6488
Кепка 12,3987,4471,4306,5573,3086,5338,5541,5986,3391,3829,7451,3706
